process	project	n_cpus
BBMAP_ALIGN	mst-1	n
BBMAP_BBDUK	mst-1	n
BBMAP_BBNORM	mst-1	n
BBMAP_INDEX	mst-1	n
COLLECT_FEATURECOUNTS	mst-1	n
COLLECT_STATS	mst-1	n
CUSTOM_DUMPSOFTWAREVERSIONS	mst-1	n
EGGNOG_MAPPER	mst-1	n
EGGNOG_SUM	mst-1	n
EUKULELE_SEARCH	mst-1	n
FAA_CAT	mst-1	n
FASTQC	mst-1	n
FEATURECOUNTS_CDS	mst-1	n
FFN_CAT	mst-1	n
FORMAT_PRODIGAL_GFF	mst-1	n
FORMATSPADES	mst-1	n
FORMAT_TAX	mst-1	n
GFF_CAT	mst-1	n
KOFAMSCAN_SCAN	mst-1	n
MEGAHIT_INTERLEAVED	mst-1	n
MERGE_TABLES	mst-1	n
MULTIQC	mst-1	n
PRODIGAL_MODULE	mst-1	n
PROKKA	mst-1	n
PROKKAGFF2TSV	mst-1	n
SAMPLESHEET_CHECK	mst-1	n
SAMTOOLS_FLAGSTAT	mst-1	n
SAMTOOLS_IDXSTATS	mst-1	n
SAMTOOLS_INDEX	mst-1	n
SAMTOOLS_SORT	mst-1	n
SAMTOOLS_STATS	mst-1	n
SEQTK_MERGEPE	mst-1	n
SEQTK_SEQ_CONTIG_FILTER	mst-1	n
SPADES	mst-1	n
SUM_KOFAMSCAN	mst-1	n
SUM_TAXONOMY	mst-1	n
TRANSRATE	mst-1	n
TRIMGALORE	mst-1	n
UNPIGZ_CONTIGS	mst-1	n
UNPIGZ_GFF	mst-1	n
WRITESPADESYAML	mst-1	n
